state,year,total_cases,Group_Name,Sub_Group_Name,crime_type,Subgroup
Gujarat,2006,366,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2006,156,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2006,31,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2006,76,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2006,214,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2006,588,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2006,138,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2006,510,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2006,995,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2006,9,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2006,11,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2006,3,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2006,8,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2006,384,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2006,9,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2006,237,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2006,249,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2006,7,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2006,515,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2006,34,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2006,927,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2006,55,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2006,447,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2007,6,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2007,886,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2007,3,Murder - Female Victims,2. Female Victims,Murder,
Assam,2007,88,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2007,390,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2007,6,Murder - Female Victims,2. Female Victims,Murder,
